Actual,Predicted
15,23.910828
38,26.326563
38,31.033232
40,33.686455
21,30.346918
17,30.77411
14,25.87646
16,21.398127
8,21.724226
18,20.067717
17,17.343449
22,16.830652
17,16.388376
16,17.813124
21,18.41075
34,21.905207
17,20.95208
32,24.077925
33,27.652649
19,27.19275
35,27.34738
16,27.087414
18,24.10643
37,25.032991
15,24.164436
21,21.152494
33,24.735666
32,27.693544
24,24.82612
27,27.33012
13,25.85932
36,26.406605
22,24.266493
20,23.558847
16,21.20545
19,23.468126
27,25.554567
19,22.60243
34,26.05745
30,25.348803
50,31.445494
36,33.346725
40,36.85766
44,38.32465
25,37.264404
24,32.774742
37,33.007214
60,36.67644
30,34.471775
42,37.251022
42,40.1488
29,38.949493
40,35.528427
28,35.021393
33,33.429417
38,32.707237
40,34.701763
39,34.544014
71,41.636436
25,40.47818
41,41.034615
33,39.88698
41,39.968407
31,33.388382
27,33.591213
22,30.004831
38,30.937956
41,31.049809
21,28.925175
30,29.497816
18,8.354072
14,10.8307495
5,11.328037
3,9.286773
0,8.082804
8,6.049619
7,4.5464573
8,5.2006736
8,6.153319
16,9.387956
9,9.587484
7,9.630861
0,8.019997
24,11.2958
18,11.703721
3,10.543609
0,9.123649
7,10.504338
12,8.091053
3,4.957974
30,10.552696
15,13.571466
13,14.865341
0,12.390749
0,11.762812
0,5.6280713
0,2.4866052
8,1.5066445
10,3.5656316
13,6.186586
6,7.2194467
6,6.85595
11,7.7755733
6,6.4904265
0,6.077799
4,5.6681266
7,5.9000697
2,3.9392197
15,5.972343
7,7.4490423
21,10.815879
3,9.918408
4,10.353821
8,8.973705
6,8.785784
3,5.0960507
5,5.4798894
13,7.3567204
2,6.0626125
6,5.9888196
1,5.5490656
4,5.394193
2,3.0653086
2,3.068461
11,4.158441
2,4.3850474
0,3.486164
2,3.4682877
0,3.0297935
13,3.5378613
2,3.5403996
12,6.110368
11,7.955198
6,9.17217
2,6.9347663
2,6.847267
3,4.9311414
8,4.363077
16,11.136571
19,12.777841
22,14.498443
18,16.376097
30,20.559223
16,20.595766
27,22.153666
29,23.52492
20,23.943487
11,19.926733
27,22.099932
20,20.740854
10,16.98041
13,15.487531
8,14.910828
14,12.400525
23,12.976608
7,12.363751
9,11.774213
16,13.393182
8,12.200208
13,10.2036705
11,11.032589
15,12.269181
11,11.111686
9,11.341111
29,14.459504
20,16.191763
20,17.129835
14,17.935736
10,18.096966
19,16.156853
14,14.990815
17,14.244405
11,13.560031
11,13.742751
16,13.160679
11,12.590806
23,13.912997
18,15.365631
19,16.904562
7,15.050864
11,14.975402
15,13.387984
16,12.99644
16,12.57433
13,13.861976
17,15.185662
8,4.9044394
7,4.274958
4,4.1518807
2,4.5970387
8,5.602695
9,5.970588
7,6.0083265
10,7.2122855
4,7.6179757
10,8.041709
2,6.5271883
2,5.516334
2,3.8810167
6,4.259939
10,4.209825
0,3.8758795
7,4.8799224
2,4.8755126
3,4.3114524
2,2.7263522
6,3.8698514
0,2.5188453
0,2.1435618
0,1.50828
0,1.0203762
5,4.79336
3,3.6225858
3,2.343789
0,2.3338432
3,2.854704
10,3.9559166
0,3.3237104
9,4.5390563
10,6.4570136
5,5.235259
6,5.883427
4,6.857439
3,5.146033
8,5.1930146
5,5.0867095
17,7.377031
0,6.586786
0,6.0388
0,4.4153438
8,5.178001
0,1.4849637
9,7.7273035
7,7.230662
2,6.083337
6,5.711695
2,5.2000847
2,3.73484
15,5.4221206
6,6.1936936
