Actual,Predicted
0,-0.0007375479
24,23.999252
10,9.99913
17,16.999123
13,12.999
11,10.998924
10,9.998943
17,16.999046
16,15.99889
23,22.998823
15,14.998938
17,16.998817
11,10.998732
20,19.998901
15,14.998985
6,5.9989796
4,3.9989796
13,12.999147
8,7.9991093
7,6.999132
6,5.9990997
14,13.9991
6,5.999102
4,3.9992328
14,13.999222
2,1.9992114
0,-0.000721097
3,2.9992747
16,15.999397
6,5.999407
7,6.9993134
11,10.999273
28,27.999138
2,1.9990295
11,10.999039
4,3.9990177
19,18.99904
17,16.99911
13,12.998957
10,9.999058
7,6.999016
8,7.9990754
19,18.999105
12,11.9990835
28,27.999043
10,9.998823
19,18.998898
5,4.998837
7,6.9988813
7,6.9989924
18,17.999086
25,24.99886
16,15.999022
11,10.998957
7,6.99891
15,14.998983
6,5.998893
13,12.998959
12,11.998995
21,20.998999
11,10.999027
8,7.9990196
5,4.9991045
5,4.9991693
26,25.999235
19,18.999092
7,6.9990354
11,10.999034
12,11.998881
14,13.998931
7,6.9991255
13,12.999065
15,14.999085
9,8.999083
14,13.999052
9,8.998981
17,16.999084
5,4.999098
16,15.999078
16,15.998979
14,13.999056
14,13.999018
16,15.998864
6,5.9988256
0,-0.00094914436
14,13.998967
8,7.9991503
20,19.999115
22,21.99902
20,19.999014
23,22.998974
5,4.9989
21,20.998926
5,4.998944
15,14.998938
11,10.99896
23,22.999054
18,17.99897
9,8.998885
7,6.999043
27,26.998915
26,25.998955
22,21.998974
9,8.99892
11,10.99887
14,13.998995
16,15.998935
17,16.998951
19,18.999008
7,6.9988823
24,23.998863
18,17.998905
13,12.998844
7,6.998932
18,17.998865
13,12.999027
12,11.999018
12,11.999082
13,12.998995
19,18.999008
17,16.998856
7,6.9990625
13,12.998976
9,8.999033
26,25.999054
14,13.999125
21,20.999
6,5.999021
30,29.99901
14,13.998841
16,15.998963
24,23.998919
17,16.998783
14,13.998894
9,8.998952
18,17.998844
14,13.9989805
20,19.999023
5,4.999037
21,20.998951
11,10.998894
3,2.9989538
5,4.9991946
16,15.999092
